,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUADRO N° 1,,,,Contenido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÍNDICE DE PRODUCCIÓN DE LA INDUSTRIA MANUFACTURERA (IPI-M) BASE: 2015=100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SERIE HISTÓRICA DEL ÍNDICE DEL IPI-M, periodo enero 2016 -  septiembre 2020
POR CLASIFICACIÓN NACIONAL DE ACTIVIDADES ECONÓMICAS - CIIU
(Número)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nivel,CIIU,Descripción,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20
3,C181,Impresión y actividades de servicios relacionados con la impresión.,82.66,84.48,93.43,88.83,93.68,81.69,79.96,87.04,87.32,86.10,83.62,86.29,74.57,73.02,84.46,79.38,79.29,76.00,70.17,71.75,77.19,80.87,83.89,87.69,71.62,76.36,88.36,90.99,89.40,86.31,79.95,78.56,78.90,84.65,87.65,83.26,73.25,75.65,81.95,89.82,95.15,84.45,104.75,129.89,143.40,147.63,196.30,130.28,110.26,124.54,89.59,42.56,57.40,63.22,68.39,63.94,64.13
2,C19,Fabricación de coque y de productos de la refinación del petróleo.,99.65,99.65,99.11,98.08,98.12,100.70,95.64,95.94,96.08,97.41,92.53,95.94,94.95,95.45,92.56,94.25,94.32,93.67,94.84,93.35,92.48,90.81,92.06,90.27,75.31,58.08,73.41,69.84,74.25,71.88,75.95,79.73,68.64,73.52,70.85,70.09,69.53,59.05,70.20,66.77,71.18,64.11,69.11,65.64,65.08,61.42,53.26,58.85,60.29,53.64,51.01,27.65,38.83,60.21,62.78,64.34,75.94
3,C192,Fabricación de productos de la refinación del petróleo.,99.65,99.65,99.11,98.08,98.12,100.70,95.64,95.94,96.08,97.41,92.53,95.94,94.95,95.45,92.56,94.25,94.32,93.67,94.84,93.35,92.48,90.81,92.06,90.27,75.31,58.08,73.41,69.84,74.25,71.88,75.95,79.73,68.64,73.52,70.85,70.09,69.53,59.05,70.20,66.77,71.18,64.11,69.11,65.64,65.08,61.42,53.26,58.85,60.29,53.64,51.01,27.65,38.83,60.21,62.78,64.34,75.94
2,C20,Fabricación de substancias y productos químicos.,98.83,99.60,100.98,83.15,86.09,90.78,89.03,100.17,98.48,92.67,89.15,94.11,101.12,90.28,91.08,89.08,90.43,89.57,84.08,88.73,87.14,86.04,78.78,79.53,86.97,70.74,77.63,73.19,73.95,76.60,75.72,93.64,77.12,76.03,73.99,114.30,142.20,76.77,68.77,80.38,79.61,72.63,81.75,88.01,73.36,77.42,75.99,75.28,84.52,69.78,69.23,69.95,71.00,89.01,89.40,82.23,88.91
3,C201,"Fabricación de sustancias químicas básicas, de abonos y compuestos de nitrógeno y de plásticos y caucho sintético en formas primarias.",96.78,96.79,94.95,100.86,83.19,64.33,76.07,87.98,85.05,83.90,93.53,83.73,92.88,71.15,68.90,72.81,68.93,65.50,66.38,66.82,58.64,61.20,58.42,72.29,64.90,57.63,63.37,58.93,62.19,65.07,67.06,126.12,90.98,86.86,84.39,269.04,384.29,123.61,100.65,87.95,112.39,103.37,112.41,119.56,85.78,99.77,87.64,124.61,124.87,65.02,60.76,65.57,59.43,95.06,79.47,63.43,74.12
3,C202,Fabricación de otros productos químicos.,99.49,100.50,102.91,77.49,87.02,99.24,93.17,104.07,102.77,95.47,87.75,97.43,103.76,96.40,98.18,94.29,97.31,97.27,89.74,95.74,96.26,93.99,85.30,81.85,94.02,74.93,82.19,77.76,77.72,80.29,78.49,83.25,72.69,72.57,70.67,64.80,64.75,61.78,58.58,77.96,69.13,62.80,71.94,77.91,69.38,70.27,72.27,59.50,71.62,71.30,71.94,71.35,74.70,87.07,92.57,88.24,93.64
2,C21,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico.",53.59,78.22,118.11,113.96,86.78,103.35,121.49,126.93,130.91,131.14,110.80,88.37,94.26,116.24,134.02,121.69,125.81,128.67,129.87,123.56,124.20,129.39,117.57,106.87,101.63,207.62,208.20,130.02,122.08,131.92,99.26,114.49,82.88,118.39,113.18,95.54,109.55,127.19,119.62,121.11,125.52,121.17,129.48,122.13,142.11,113.03,121.65,111.74,140.48,104.89,127.75,122.88,146.73,169.95,139.04,144.52,134.84
3,C210,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico.",53.59,78.22,118.11,113.96,86.78,103.35,121.49,126.93,130.91,131.14,110.80,88.37,94.26,116.24,134.02,121.69,125.81,128.67,129.87,123.56,124.20,129.39,117.57,106.87,101.63,207.62,208.20,130.02,122.08,131.92,99.26,114.49,82.88,118.39,113.18,95.54,109.55,127.19,119.62,121.11,125.52,121.17,129.48,122.13,142.11,113.03,121.65,111.74,140.48,104.89,127.75,122.88,146.73,169.95,139.04,144.52,134.84
2,C22,Fabricación de productos de caucho y plástico.,80.28,102.45,99.02,101.57,96.55,91.51,89.75,97.74,97.09,92.80,97.40,92.56,77.25,77.36,84.44,80.80,82.78,86.14,86.07,87.35,85.58,86.23,85.59,78.29,81.44,72.03,80.97,79.71,85.67,78.81,75.36,81.99,75.31,82.73,88.20,73.46,69.97,68.30,64.21,61.63,66.58,62.97,64.65,62.02,63.89,59.68,65.46,66.33,67.85,65.18,55.48,50.50,57.86,68.78,82.54,72.56,81.87
3,C221,Fabricación de productos de caucho.,97.00,93.36,79.67,77.51,95.66,95.12,87.49,81.73,90.33,66.72,85.01,77.91,47.63,64.19,66.60,61.38,70.11,73.67,80.56,72.72,78.61,78.32,68.16,32.42,71.47,62.28,70.29,68.37,72.73,71.72,67.97,64.53,51.29,53.98,93.39,29.62,42.82,24.90,27.00,28.33,26.95,27.40,23.43,17.25,24.55,20.46,23.33,20.27,27.80,24.81,15.98,5.91,11.18,19.93,72.78,50.13,97.70
3,C222,Fabricación de productos de plástico.,76.42,104.55,103.49,107.12,96.76,90.68,90.27,101.44,98.65,98.83,100.26,95.95,84.10,80.40,88.57,85.29,85.71,89.03,87.34,90.74,87.19,88.06,89.62,88.89,83.74,74.29,83.44,82.34,88.65,80.45,77.06,86.02,80.87,89.37,87.00,83.59,76.24,78.33,72.81,69.32,75.74,71.19,74.18,72.36,72.98,68.74,75.20,76.97,77.11,74.50,64.61,60.80,68.65,80.06,84.80,77.74,78.21
